;;;;;;;;;;;;
Hidden layer sizes;Train time[s];Accuracy;MSE;MAE;Cross-entropy;;Hidden layer sizes;Train time[s];Accuracy;MSE;MAE;Cross-entropy
10;0.646;0.885;0.076;0.205;0.278;;1 x 10;0.646;0.885;0.076;0.205;0.278
(10, 10);0.556;0.920;0.056;0.154;0.215;;2 x 10;0.556;0.920;0.056;0.154;0.215
(10, 10, 10);0.870;0.929;0.053;0.134;0.196;;3 x 10;0.870;0.929;0.053;0.134;0.196
(10, 10, 10, 10);0.659;0.929;0.047;0.113;0.176;;4 x 10;0.659;0.929;0.047;0.113;0.176
(10, 10, 10, 10, 10);0.804;0.938;0.047;0.111;0.177;;5 x 10;0.804;0.938;0.047;0.111;0.177
(10, 10, 10, 10, 10, 10);1.088;0.938;0.047;0.108;0.175;;6 x 10;1.088;0.938;0.047;0.108;0.175
(10, 10, 10, 10, 10, 10, 10);1.435;0.938;0.047;0.109;0.178;;7 x 10;1.435;0.938;0.047;0.109;0.178
(10, 10, 10, 10, 10, 10, 10, 10);1.671;0.938;0.046;0.106;0.175;;8 x 10;1.671;0.938;0.046;0.106;0.175
(10, 10, 10, 10, 10, 10, 10, 10, 10);1.033;0.938;0.046;0.104;0.180;;9 x 10;1.033;0.938;0.046;0.104;0.180
(10, 10, 10, 10, 10, 10, 10, 10, 10, 10);1.338;0.938;0.047;0.108;0.178;;10 x 10;1.338;0.938;0.047;0.108;0.178
25;0.537;0.903;0.067;0.187;0.248;;1 x 25;0.537;0.903;0.067;0.187;0.248
(25, 25);0.487;0.929;0.051;0.130;0.186;;2 x 25;0.487;0.929;0.051;0.130;0.186
(25, 25, 25);0.569;0.929;0.052;0.116;0.184;;3 x 25;0.569;0.929;0.052;0.116;0.184
(25, 25, 25, 25);0.624;0.929;0.051;0.111;0.185;;4 x 25;0.624;0.929;0.051;0.111;0.185
(25, 25, 25, 25, 25);0.822;0.929;0.049;0.102;0.175;;5 x 25;0.822;0.929;0.049;0.102;0.175
(25, 25, 25, 25, 25, 25);0.914;0.929;0.050;0.098;0.176;;6 x 25;0.914;0.929;0.050;0.098;0.176
(25, 25, 25, 25, 25, 25, 25);0.815;0.929;0.047;0.088;0.171;;7 x 25;0.815;0.929;0.047;0.088;0.171
(25, 25, 25, 25, 25, 25, 25, 25);0.977;0.938;0.047;0.091;0.170;;8 x 25;0.977;0.938;0.047;0.091;0.170
(25, 25, 25, 25, 25, 25, 25, 25, 25);1.162;0.938;0.046;0.093;0.168;;9 x 25;1.162;0.938;0.046;0.093;0.168
(25, 25, 25, 25, 25, 25, 25, 25, 25, 25);1.085;0.938;0.046;0.089;0.168;;10 x 25;1.085;0.938;0.046;0.089;0.168
100;0.728;0.938;0.058;0.167;0.218;;1 x 100;0.728;0.938;0.058;0.167;0.218
(100, 100);1.798;0.929;0.051;0.123;0.180;;2 x 100;1.798;0.929;0.051;0.123;0.180
(100, 100, 100);2.289;0.929;0.048;0.102;0.165;;3 x 100;2.289;0.929;0.048;0.102;0.165
(100, 100, 100, 100);2.927;0.929;0.047;0.093;0.162;;4 x 100;2.927;0.929;0.047;0.093;0.162
(100, 100, 100, 100, 100);3.283;0.929;0.047;0.086;0.162;;5 x 100;3.283;0.929;0.047;0.086;0.162
(100, 100, 100, 100, 100, 100);3.692;0.938;0.046;0.084;0.158;;6 x 100;3.692;0.938;0.046;0.084;0.158
(100, 100, 100, 100, 100, 100, 100);3.842;0.938;0.046;0.082;0.161;;7 x 100;3.842;0.938;0.046;0.082;0.161
(100, 100, 100, 100, 100, 100, 100, 100);3.757;0.938;0.045;0.080;0.161;;8 x 100;3.757;0.938;0.045;0.080;0.161
(100, 100, 100, 100, 100, 100, 100, 100, 100);4.179;0.938;0.046;0.079;0.161;;9 x 100;4.179;0.938;0.046;0.079;0.161
(100, 100, 100, 100, 100, 100, 100, 100, 100, 100);5.068;0.938;0.046;0.080;0.164;;10 x 100;5.068;0.938;0.046;0.080;0.164
